feature 3,feature 4,output
-5.569827117,-3.56654348,0
7.215072883,-0.23804348,0
-4.764427117,0.53906652,1
1.633572883,1.90844652,0
-1.924877117,-0.88724348,0
1.098072883,1.55801652,0
6.939172883,-1.67984348,0
-0.822117117,1.61103652,0
0.533372883,-3.13204348,0
-1.353362117,-3.30664348,1
-1.128867117,-2.59664348,0
0.537672883,-2.27214348,0
2.022572883,2.28215652,0
2.893172883,1.73904652,0
-1.421052117,2.42305652,0
5.792672883,0.51578652,0
-1.680677117,2.75415652,0
-1.242827117,-0.01694348,1
1.997772883,0.65414652,0
-1.044897117,1.47525652,0
-0.155527117,0.62955652,0
-3.219527117,1.42741652,0
5.093472883,0.43819652,0
-2.470727117,1.51275652,1
8.396572883,0.91147652,1
1.232572883,2.29635652,0
0.858172883,1.03431652,0
0.690172883,1.81792652,0
0.882972883,2.22395652,0
14.22227288,0.23518652,1
-1.917167117,-2.38204348,1
-5.443927117,-3.37124348,0
15.68577288,-1.84284348,1
-1.501597117,0.99940652,1
2.159672883,1.45974652,0
-0.850397117,-3.74624348,1
-0.561647117,1.10026352,1
-3.069627117,-0.88984348,0
-2.728627117,-4.27904348,0
-5.472227117,-0.79924348,1
-2.379857117,1.62008652,1
-6.183327117,-3.14494348,0
4.509172883,1.76361652,0
-4.288927117,-0.31694348,0
-3.594027117,0.41104652,1
-5.300827117,-2.15704348,0
8.933872883,2.17352652,1
-1.122017117,0.03605652,0
-1.613837117,-2.44284348,1
-4.449127117,-0.52384348,0
-1.640407117,-5.38584348,1
0.696172883,-4.45874348,0
-4.389127117,0.61923652,0
-4.239227117,0.59207652,1
1.117772883,1.79077652,1
-1.997707117,-2.82164348,1
-1.582997117,0.89078652,0
-0.871817117,-5.81904348,1
3.377272883,2.73865652,1
-1.276247117,2.33515652,0
-3.424327117,2.21875652,1
-1.596707117,-5.66904348,1
-5.937427117,-1.20144348,1
10.51727288,-1.56354348,1
-0.032927117,1.35629652,1
1.477672883,1.27871052,0
2.432172883,2.21495652,1
-4.804727117,-2.91734348,0
6.329072883,2.10111652,0
6.143972883,1.89939652,1
-4.572527117,-1.80274348,0
-1.806627117,-1.05144348,0
-1.889747117,-4.12904348,1
